2 
FINITE ELEMENT MODEL FOR SHOCKWAVE 
MODEL WITH 814 TRIANGULAR ELEMENTS AND 461 NODES 
NELEM     NPOIN    NBOUN     NITER     NSHOW	
814 461 106 3000 10 
 GAMMA	
1.400000e+00 
NODAL COORDINATES AND INITIAL CONDITIONS [  ]:
93 0.780396 2.000000 1.000000 1.000000 0.000000 0.978400 
94 0.585327 2.000000 1.000000 1.000000 0.000000 0.978400 
95 0.390259 2.000000 1.000000 1.000000 0.000000 0.978400 
96 0.195190 2.000000 1.000000 1.000000 0.000000 0.978400 
97 0.000000 1.818207 1.000000 1.000000 0.000000 0.978400 
98 0.000000 1.636383 1.000000 1.000000 0.000000 0.978400 
99 0.000000 1.454559 1.000000 1.000000 0.000000 0.978400 
100 0.000000 1.272736 1.000000 1.000000 0.000000 0.978400 
101 0.000000 1.090912 1.000000 1.000000 0.000000 0.978400 
102 0.000000 0.909088 1.000000 1.000000 0.000000 0.978400 
103 0.000000 0.727264 1.000000 1.000000 0.000000 0.978400 
104 0.000000 0.545441 1.000000 1.000000 0.000000 0.978400 
105 0.000000 0.363617 1.000000 1.000000 0.000000 0.978400 
106 0.000000 0.181793 1.000000 1.000000 0.000000 0.978400 
107 3.194998 0.231786 1.000000 1.000000 0.000000 0.978400 
108 3.471024 0.182333 1.000000 1.000000 0.000000 0.978400 
109 3.706356 0.191685 1.000000 1.000000 0.000000 0.978400 
110 3.909727 0.193170 1.000000 1.000000 0.000000 0.978400 
111 4.107596 0.193539 1.000000 1.000000 0.000000 0.978400 
112 4.305273 0.194531 1.000000 1.000000 0.000000 0.978400 
113 4.503035 0.194542 1.000000 1.000000 0.000000 0.978400 
114 4.700796 0.194508 1.000000 1.000000 0.000000 0.978400 
115 4.898532 0.194428 1.000000 1.000000 0.000000 0.978400 
116 5.096264 0.194303 1.000000 1.000000 0.000000 0.978400 
117 5.293997 0.194130 1.000000 1.000000 0.000000 0.978400 
118 5.491734 0.193912 1.000000 1.000000 0.000000 0.978400 
119 5.689495 0.193647 1.000000 1.000000 0.000000 0.978400 
120 5.887255 0.193337 1.000000 1.000000 0.000000 0.978400 
121 6.084992 0.192979 1.000000 1.000000 0.000000 0.978400 
122 6.282728 0.192574 1.000000 1.000000 0.000000 0.978400 
123 6.480484 0.192119 1.000000 1.000000 0.000000 0.978400 
124 6.678219 0.191615 1.000000 1.000000 0.000000 0.978400 
125 6.875954 0.191061 1.000000 1.000000 0.000000 0.978400 
126 7.074164 0.190610 1.000000 1.000000 0.000000 0.978400 
127 7.276064 0.192227 1.000000 1.000000 0.000000 0.978400 
128 7.486295 0.201568 1.000000 1.000000 0.000000 0.978400 
129 7.735377 0.236185 1.000000 1.000000 0.000000 0.978400 
130 7.905279 0.365744 1.000000 1.000000 0.000000 0.978400 
131 7.802688 0.511048 1.000000 1.000000 0.000000 0.978400 
132 7.806789 0.732526 1.000000 1.000000 0.000000 0.978400 
133 7.801691 0.922180 1.000000 1.000000 0.000000 0.978400 
134 7.802642 1.113143 1.000000 1.000000 0.000000 0.978400 
135 7.804550 1.309055 1.000000 1.000000 0.000000 0.978400 
136 7.801707 1.514425 1.000000 1.000000 0.000000 0.978400 
137 7.803645 1.736040 1.000000 1.000000 0.000000 0.978400 
138 7.613771 1.852693 1.000000 1.000000 0.000000 0.978400 
139 7.451917 1.784587 1.000000 1.000000 0.000000 0.978400 
140 7.253389 1.841083 1.000000 1.000000 0.000000 0.978400 
141 7.078340 1.796728 1.000000 1.000000 0.000000 0.978400 
142 6.868972 1.846535 1.000000 1.000000 0.000000 0.978400 
143 6.648397 1.828963 1.000000 1.000000 0.000000 0.978400 
144 6.454072 1.815391 1.000000 1.000000 0.000000 0.978400 
145 6.258242 1.809085 1.000000 1.000000 0.000000 0.978400 
146 6.060974 1.806722 1.000000 1.000000 0.000000 0.978400 
147 5.863514 1.806163 1.000000 1.000000 0.000000 0.978400 
148 5.666018 1.805665 1.000000 1.000000 0.000000 0.978400 
149 5.468524 1.805227 1.000000 1.000000 0.000000 0.978400 
150 5.271072 1.804848 1.000000 1.000000 0.000000 0.978400 
151 5.073629 1.804526 1.000000 1.000000 0.000000 0.978400 
152 4.876185 1.804262 1.000000 1.000000 0.000000 0.978400 
153 4.678734 1.804056 1.000000 1.000000 0.000000 0.978400 
154 4.481237 1.803909 1.000000 1.000000 0.000000 0.978400 
155 4.283741 1.803821 1.000000 1.000000 0.000000 0.978400 
156 4.086289 1.803790 1.000000 1.000000 0.000000 0.978400 
157 3.888836 1.803817 1.000000 1.000000 0.000000 0.978400 
